symbol,trade_id,alert_date,level,level_type,dist_pct,alert_price,alert_vol,strike,expiry_date,days_to_expiry,straddle_cost,exit_date,exit_sv,exit_pnl,exit_pnl_pct,exit_reason,days_held,scale_factor,scaled_cost,scaled_exit,scaled_pnl
PETR4.SA,1,2023-03-02,24.42,support,0.893,24.64,0.0226,24.64,2023-04-21,50,0.29,2023-03-03,1.32,1.04,361.33,20% target,1,3448.2758620689656,1000,4551.724137931034,3551.7241379310344
PETR4.SA,2,2023-03-13,24.42,resistance,0.951,24.19,0.0225,24.19,2023-04-21,39,0.23,2023-03-15,0.65,0.43,188.06,20% target,2,4347.826086956522,1000,2826.0869565217395,1826.0869565217395
PETR4.SA,3,2023-04-03,24.42,support,0.286,24.49,0.0203,24.49,2023-05-19,46,0.26,2023-04-11,1.37,1.11,431.05,20% target,8,3846.153846153846,1000,5269.2307692307695,4269.2307692307695
PETR4.SA,4,2023-04-18,27.33,support,0.219,27.39,0.0184,27.39,2023-05-19,31,0.2,2023-04-19,0.7,0.5,250.65,20% target,1,5000,1000,3500,2500
PETR4.SA,5,2023-04-24,27.33,resistance,0.478,27.2,0.0192,27.2,2023-05-19,25,0.17,2023-04-26,0.31,0.15,87.41,20% target,2,5882.35294117647,1000,1823.5294117647059,823.5294117647059
PETR4.SA,6,2023-05-02,22.48,support,1.143,22.74,0.032,22.74,2023-06-16,45,0.28,2023-05-04,0.5,0.22,79.71,20% target,2,3571.428571428571,1000,1785.7142857142856,785.7142857142856
PETR4.SA,7,2023-05-08,24.42,support,0.367,24.51,0.0321,24.51,2023-06-16,39,0.27,2023-05-11,1.11,0.84,314.44,20% target,3,3703.7037037037035,1000,4111.111111111111,3111.1111111111113
PETR4.SA,8,2023-05-26,27.045,resistance,0.914,26.8,0.0313,26.8,2023-06-16,21,0.19,2023-05-30,0.31,0.12,64.01,20% target,4,5263.157894736842,1000,1631.5789473684208,631.5789473684208
PETR4.SA,9,2023-06-05,27.61,resistance,0.51,27.47,0.0177,27.47,2023-07-21,46,0.28,2023-06-06,0.85,0.57,199.72,20% target,1,3571.428571428571,1000,3035.7142857142853,2035.7142857142853
PETR4.SA,10,2023-08-15,31.22,resistance,1.167,30.86,0.0201,30.86,2023-09-15,31,0.23,2023-08-16,0.88,0.65,282.11,20% target,1,4347.826086956522,1000,3826.0869565217395,2826.0869565217395
PETR4.SA,11,2023-08-23,32,support,0.744,32.24,0.0231,32.24,2023-09-15,23,0.2,2023-08-29,0.28,0.08,38.89,20% target,6,5000,1000,1400.0000000000002,400.0000000000002
PETR4.SA,12,2023-12-06,33.91,resistance,1.224,33.5,0.0191,33.5,2024-01-19,44,0.34,2023-12-08,1.3,0.96,285.98,20% target,2,2941.176470588235,1000,3823.529411764706,2823.529411764706
PETR4.SA,13,2023-12-22,37.22,resistance,1.306,36.74,0.0157,36.74,2024-01-19,28,0.24,2023-12-26,0.78,0.55,231.62,20% target,4,4166.666666666667,1000,3250.0000000000005,2250.0000000000005
PETR4.SA,14,2024-01-03,38.86,support,0.257,38.96,0.0162,38.96,2024-02-16,44,0.38,2024-01-09,0.54,0.16,40.68,20% target,6,2631.578947368421,1000,1421.0526315789473,421.0526315789473
PETR4.SA,15,2024-01-10,37.22,support,1.404,37.75,0.0113,37.75,2024-02-16,37,0.31,2024-01-11,0.62,0.31,101.49,20% target,1,3225.8064516129034,1000,2000,1000
PETR4.SA,16,2024-01-15,39.105,resistance,1.361,38.58,0.0106,38.58,2024-02-16,32,0.27,2024-01-17,0.45,0.18,65.16,20% target,2,3703.7037037037035,1000,1666.6666666666665,666.6666666666665
PETR4.SA,17,2024-01-18,37.22,support,1.352,37.73,0.0108,37.73,2024-02-16,29,0.24,2024-01-23,0.64,0.4,165.17,20% target,5,4166.666666666667,1000,2666.666666666667,1666.666666666667
PETR4.SA,18,2024-01-25,39.105,support,0.446,39.28,0.0132,39.28,2024-02-16,22,0.2,2024-01-26,0.86,0.66,337.71,20% target,1,5000,1000,4300,3300
PETR4.SA,19,2024-03-08,37.225,resistance,1.431,36.7,0.0268,36.7,2024-04-19,42,0.39,2024-03-11,0.74,0.35,89.58,20% target,3,2564.102564102564,1000,1897.4358974358972,897.4358974358972
PETR4.SA,20,2024-03-20,37.225,resistance,1.431,36.7,0.0276,36.7,2024-04-19,30,0.31,2024-03-21,0.77,0.46,150.84,20% target,1,3225.8064516129034,1000,2483.8709677419356,1483.8709677419356
PETR4.SA,21,2024-03-28,37.225,support,0.361,37.36,0.0268,37.36,2024-04-19,22,0.25,2024-04-01,0.67,0.43,173.67,20% target,4,4000,1000,2680,1680
PETR4.SA,22,2024-04-02,39.105,resistance,1.256,38.62,0.0277,38.62,2024-05-17,45,0.44,2024-04-10,1.28,0.84,191.67,20% target,8,2272.7272727272725,1000,2909.090909090909,1909.090909090909
PETR4.SA,23,2024-04-08,39.105,resistance,1.23,38.63,0.0163,38.63,2024-05-17,39,0.34,2024-04-09,0.42,0.08,24.63,20% target,1,2941.176470588235,1000,1235.2941176470588,235.29411764705878
PETR4.SA,24,2024-05-03,39.35,support,1.354,39.89,0.0174,39.89,2024-06-21,49,0.44,2024-05-06,0.67,0.23,53.88,20% target,3,2272.7272727272725,1000,1522.7272727272727,522.7272727272727
PETR4.SA,25,2024-05-16,37.225,support,0.148,37.28,0.0233,37.28,2024-06-21,36,0.33,2024-05-24,0.45,0.11,34.18,20% target,8,3030.30303030303,1000,1363.6363636363635,363.6363636363635
PETR4.SA,26,2024-05-31,39.35,resistance,1.444,38.79,0.0232,38.79,2024-06-21,21,0.23,2024-06-04,0.31,0.08,34.43,20% target,4,4347.826086956522,1000,1347.8260869565217,347.82608695652175
PETR4.SA,27,2024-06-07,37.23,resistance,0.785,36.94,0.0204,36.94,2024-07-19,42,0.36,2024-06-10,0.87,0.51,142.82,20% target,3,2777.777777777778,1000,2416.6666666666665,1416.6666666666665
PETR4.SA,28,2024-06-13,35.1,support,1.015,35.46,0.0191,35.46,2024-07-19,36,0.3,2024-06-14,0.51,0.21,71.42,20% target,1,3333.3333333333335,1000,1700,700
PETR4.SA,29,2024-06-18,36.41,resistance,1.421,35.9,0.0199,35.9,2024-07-19,31,0.27,2024-06-20,0.83,0.56,208.85,20% target,2,3703.7037037037035,1000,3074.074074074074,2074.074074074074
PETR4.SA,30,2024-06-24,37.23,resistance,0.459,37.06,0.02,37.06,2024-07-19,25,0.23,2024-06-27,0.83,0.6,256.79,20% target,3,4347.826086956522,1000,3608.695652173913,2608.695652173913
PETR4.SA,31,2024-07-01,39.14,resistance,1.32,38.63,0.019,38.63,2024-08-16,46,0.4,2024-07-04,0.95,0.54,135.12,20% target,3,2500,1000,2375,1375
PETR4.SA,32,2024-07-04,37.23,support,0.241,37.32,0.0195,37.32,2024-08-16,43,0.37,2024-07-05,0.54,0.18,47.59,20% target,1,2702.702702702703,1000,1459.4594594594596,459.4594594594596
PETR4.SA,33,2024-07-08,38.93,resistance,1.275,38.44,0.018,38.44,2024-08-16,39,0.34,2024-07-17,0.41,0.07,20.51,20% target,9,2941.176470588235,1000,1205.8823529411764,205.88235294117635
PETR4.SA,34,2024-07-15,39.015,resistance,1.338,38.5,0.0121,38.5,2024-08-16,32,0.27,2024-07-17,0.35,0.08,29.72,20% target,2,3703.7037037037035,1000,1296.296296296296,296.2962962962961
PETR4.SA,35,2024-07-29,36.41,support,1.274,36.88,0.0112,36.88,2024-08-16,18,0.15,2024-07-31,0.66,0.51,340.75,20% target,2,6666.666666666667,1000,4400,3400
PETR4.SA,36,2024-08-16,38.93,resistance,1.117,38.5,0.0152,38.5,2024-09-20,35,0.3,2024-08-22,1.14,0.83,275.99,20% target,6,3333.3333333333335,1000,3800,2800
PETR4.SA,37,2024-08-23,36.41,support,1.301,36.89,0.0154,36.89,2024-09-20,28,0.24,2024-08-26,2.88,2.65,1120.42,20% target,3,4166.666666666667,1000,12000,11000
PETR4.SA,38,2024-08-27,38.93,support,0.282,39.04,0.0217,39.04,2024-09-20,24,0.24,2024-08-28,0.76,0.51,208.93,20% target,1,4166.666666666667,1000,3166.666666666667,2166.666666666667
PETR4.SA,39,2024-09-12,36.41,support,1.248,36.87,0.0195,36.87,2024-10-18,36,0.31,2024-09-16,0.6,0.29,92.52,20% target,4,3225.8064516129034,1000,1935.483870967742,935.483870967742
PETR4.SA,40,2024-10-07,38.93,resistance,1.459,38.37,0.0129,38.37,2024-11-15,39,0.33,2024-10-08,0.45,0.12,37.35,20% target,1,3030.30303030303,1000,1363.6363636363635,363.6363636363635
PETR4.SA,41,2024-10-21,36.12,support,0.359,36.25,0.0123,36.25,2024-11-15,25,0.2,2024-10-23,0.41,0.21,101.59,20% target,2,5000,1000,2050,1050
PETR4.SA,42,2024-11-08,36.12,support,0.166,36.18,0.0079,36.18,2024-12-20,42,0.33,2024-11-12,1.05,0.72,216.73,20% target,4,3030.30303030303,1000,3181.8181818181815,2181.8181818181815
PETR4.SA,43,2024-11-22,39.86,resistance,1.116,39.42,0.0123,39.42,2024-12-20,28,0.25,2024-11-28,0.64,0.4,161.3,20% target,6,4000,1000,2560,1560
PETR4.SA,44,2024-11-25,38.85,support,0.842,39.18,0.0126,39.18,2024-12-20,25,0.22,2024-11-28,0.4,0.18,83.16,20% target,3,4545.454545454545,1000,1818.181818181818,818.181818181818
PETR4.SA,45,2024-12-03,39.86,resistance,0.911,39.5,0.0122,39.5,2025-01-17,45,0.39,2024-12-05,0.51,0.12,31.3,20% target,2,2564.102564102564,1000,1307.6923076923076,307.6923076923076
PETR4.SA,46,2024-12-04,38.77,support,1.223,39.25,0.0125,39.25,2025-01-17,44,0.38,2024-12-05,0.76,0.38,100.45,20% target,1,2631.578947368421,1000,1999.9999999999998,999.9999999999998
PETR4.SA,47,2024-12-05,39.86,resistance,0.555,39.64,0.0124,39.64,2025-01-17,43,0.37,2024-12-09,0.74,0.36,97.49,20% target,4,2702.702702702703,1000,2000.0000000000002,1000.0000000000002
PETR4.SA,48,2024-12-06,38.77,support,0.666,39.03,0.0132,39.03,2025-01-17,42,0.36,2024-12-09,1.34,0.98,272.63,20% target,3,2777.777777777778,1000,3722.2222222222226,2722.2222222222226
PETR4.SA,49,2024-12-09,39.86,support,0.45,40.04,0.014,40.04,2025-01-17,39,0.35,2024-12-10,0.48,0.14,39.77,20% target,1,2857.1428571428573,1000,1371.4285714285716,371.42857142857156
PETR4.SA,50,2024-12-12,38.77,resistance,1.122,38.34,0.0192,38.34,2025-01-17,36,0.32,2024-12-18,0.78,0.46,141.79,20% target,6,3125,1000,2437.5,1437.5
PETR4.SA,51,2024-12-26,35.83,resistance,0.168,35.77,0.0179,35.77,2025-01-17,22,0.19,2024-12-30,0.56,0.37,189.3,20% target,4,5263.157894736842,1000,2947.3684210526317,1947.3684210526317
PETR4.SA,52,2025-01-06,35.715,support,1.367,36.21,0.0184,36.21,2025-02-21,46,0.38,2025-01-07,1.13,0.75,199.45,20% target,1,2631.578947368421,1000,2973.6842105263154,1973.6842105263154
PETR4.SA,53,2025-02-18,38.375,resistance,0.039,38.36,0.0111,38.36,2025-03-21,31,0.26,2025-02-19,0.33,0.07,26.89,20% target,1,3846.153846153846,1000,1269.2307692307693,269.2307692307693
PETR4.SA,54,2025-02-28,35.6,support,0.918,35.93,0.0134,35.93,2025-03-21,21,0.17,2025-03-05,0.97,0.79,458.64,20% target,5,5882.35294117647,1000,5705.882352941176,4705.882352941176
PETR4.SA,55,2025-03-14,35.6,resistance,0.282,35.5,0.0175,35.5,2025-04-18,35,0.28,2025-03-17,0.91,0.62,218.64,20% target,3,3571.428571428571,1000,3250,2250
